epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2240.74,0.63147,0.46844,1.10557,0.81367,0.89287,0.91045,0.68482,0.97311,0.62817,1.50952,0.002872,0.002872,0.002872
146,2256.19,0.6263,0.46289,1.10756,0.80237,0.90384,0.90887,0.68469,0.96915,0.63826,1.50572,0.0028225,0.0028225,0.0028225
147,2271.62,0.62985,0.45844,1.1031,0.82876,0.87215,0.90527,0.6806,0.96509,0.64035,1.49892,0.002773,0.002773,0.002773
148,2287.06,0.62155,0.45971,1.09862,0.8259,0.88669,0.90872,0.68518,0.96946,0.63933,1.50783,0.0027235,0.0027235,0.0027235
149,2302.5,0.62702,0.46289,1.10347,0.86489,0.86205,0.91146,0.68558,0.97029,0.63825,1.51074,0.002674,0.002674,0.002674
150,2317.93,0.61596,0.45842,1.09755,0.85986,0.85765,0.91232,0.68723,0.96561,0.64598,1.50915,0.0026245,0.0026245,0.0026245
151,2333.37,0.61769,0.45609,1.0944,0.90124,0.8403,0.91581,0.68812,0.96935,0.63055,1.51662,0.002575,0.002575,0.002575
152,2348.82,0.61333,0.44896,1.09518,0.90679,0.8485,0.91837,0.69758,0.96779,0.61964,1.51599,0.0025255,0.0025255,0.0025255
153,2364.28,0.61805,0.44963,1.10043,0.90628,0.85015,0.91869,0.69636,0.96473,0.62557,1.51234,0.002476,0.002476,0.002476
154,2379.87,0.59995,0.44279,1.09079,0.90617,0.84846,0.91953,0.69993,0.95189,0.6227,1.50175,0.0024265,0.0024265,0.0024265
155,2395.32,0.61591,0.45229,1.09498,0.90031,0.84795,0.92027,0.70013,0.94461,0.62239,1.49705,0.002377,0.002377,0.002377
156,2410.76,0.6078,0.45195,1.09351,0.88615,0.85142,0.92079,0.7046,0.94147,0.62181,1.49729,0.0023275,0.0023275,0.0023275
157,2426.21,0.61424,0.4494,1.09619,0.88881,0.85185,0.91907,0.70039,0.94244,0.61948,1.49775,0.002278,0.002278,0.002278
158,2441.67,0.61121,0.44572,1.0936,0.86932,0.85414,0.91596,0.69565,0.9418,0.62159,1.49757,0.0022285,0.0022285,0.0022285
159,2457.12,0.60425,0.43782,1.08854,0.87251,0.84864,0.91322,0.69485,0.94268,0.62622,1.49729,0.002179,0.002179,0.002179
160,2472.58,0.59778,0.43264,1.08809,0.90991,0.82235,0.91135,0.69057,0.94421,0.63853,1.49516,0.0021295,0.0021295,0.0021295
161,2488.03,0.59873,0.43952,1.08689,0.90732,0.82164,0.90819,0.68955,0.94507,0.64443,1.49461,0.00208,0.00208,0.00208
162,2503.51,0.58901,0.43776,1.07533,0.90493,0.82245,0.90889,0.6909,0.95012,0.64584,1.4968,0.0020305,0.0020305,0.0020305
163,2518.97,0.59544,0.43112,1.08461,0.902,0.8191,0.90807,0.69057,0.95547,0.65094,1.50448,0.001981,0.001981,0.001981
164,2534.41,0.59608,0.42975,1.0863,0.86692,0.84863,0.90721,0.68981,0.95676,0.65574,1.50724,0.0019315,0.0019315,0.0019315
165,2549.87,0.58979,0.42821,1.08155,0.86755,0.85159,0.90869,0.69015,0.95654,0.65659,1.50894,0.001882,0.001882,0.001882
166,2565.31,0.58912,0.43535,1.0797,0.87021,0.85029,0.90707,0.68969,0.95518,0.656,1.50882,0.0018325,0.0018325,0.0018325
167,2580.74,0.58885,0.4323,1.08038,0.86824,0.85402,0.90903,0.68711,0.95715,0.65389,1.51438,0.001783,0.001783,0.001783
168,2596.35,0.58175,0.42662,1.0758,0.86897,0.8528,0.90927,0.68852,0.95944,0.65492,1.51884,0.0017335,0.0017335,0.0017335
169,2611.8,0.57836,0.42356,1.07865,0.87021,0.85183,0.91112,0.69022,0.95663,0.65442,1.51579,0.001684,0.001684,0.001684
170,2627.23,0.57954,0.42737,1.07782,0.87622,0.85344,0.91185,0.6918,0.95702,0.65438,1.51851,0.0016345,0.0016345,0.0016345
171,2642.68,0.57508,0.41642,1.07096,0.877,0.85544,0.91095,0.69237,0.95529,0.65438,1.51822,0.001585,0.001585,0.001585
172,2658.14,0.57664,0.42079,1.0723,0.87295,0.86335,0.9106,0.69084,0.95749,0.66196,1.52159,0.0015355,0.0015355,0.0015355
173,2673.58,0.57329,0.41654,1.06751,0.87096,0.86315,0.90942,0.68846,0.95849,0.65962,1.52222,0.001486,0.001486,0.001486
174,2689.04,0.57542,0.41969,1.07484,0.87837,0.87035,0.91158,0.68785,0.96192,0.66102,1.52922,0.0014365,0.0014365,0.0014365
175,2704.51,0.5723,0.41457,1.06725,0.87207,0.8712,0.91408,0.6901,0.96148,0.6625,1.53032,0.001387,0.001387,0.001387
176,2719.95,0.56714,0.41131,1.06566,0.8903,0.84745,0.90993,0.68815,0.96433,0.66072,1.53598,0.0013375,0.0013375,0.0013375
177,2735.39,0.56005,0.40648,1.06641,0.88839,0.84245,0.90752,0.68761,0.96281,0.65844,1.53372,0.001288,0.001288,0.001288
178,2750.85,0.56283,0.41211,1.06702,0.87339,0.85643,0.9067,0.68757,0.9606,0.65717,1.53251,0.0012385,0.0012385,0.0012385
179,2766.3,0.56766,0.41398,1.07115,0.87825,0.8513,0.91053,0.69111,0.95779,0.65815,1.52853,0.001189,0.001189,0.001189
180,2781.76,0.56155,0.40659,1.06673,0.87737,0.85436,0.90878,0.6881,0.95657,0.65819,1.52665,0.0011395,0.0011395,0.0011395
181,2797.22,0.55593,0.40273,1.0641,0.86782,0.85934,0.90847,0.68809,0.95378,0.65668,1.52355,0.00109,0.00109,0.00109
182,2812.81,0.56575,0.4093,1.06516,0.87087,0.85391,0.90907,0.68852,0.95179,0.65273,1.52253,0.0010405,0.0010405,0.0010405
